pair_id	replicate	accession	chrom1	bin1	chrom2	bin2	foreground	background	enrichment	status
1810013L24Rik:Pmm2	A	GSM9574808	chr16	17	chr16	16	2609.21337890625	809.614501953125	3.2227848841785174	observed
Abca3:Nup205	A	GSM9574808	chr17	49	chr6	70	8.22770881652832	5.364301443099976	1.5337894232456875	observed
Abcc5:Oas1a	A	GSM9574808	chr16	40	chr5	242	14.373479843139648	5.717080116271973	2.5141295120615506	observed
Abr:Pitpna	A	GSM9574808	chr11	152	chr11	151	5478.1220703125	285.1046905517578	19.214422813285857	observed
Acod1:Cd86	A	GSM9574808	chr14	206	chr16	72	7.230603218078613	4.308722734451294	1.6781314704389803	observed
Acsl4:Tmem164	A	GSM9574808	chrX	282	chrX	283	1249.8760986328125	300.5429992675781	4.158726377519206	observed
Actr3:Pla2g4a	A	GSM9574808	chr1	250	chr1	299	109.37223052978516	115.42985916137695	0.9475211294928211	observed
Adam8:Tyrobp	A	GSM9574808	chr7	279	chr7	60	40.71098327636719	32.01865768432617	1.2714768894355024	observed
Adprm:Emc2	A	GSM9574808	chr11	133	chr15	86	7.456641674041748	4.024505615234375	1.8528093601895734	observed
Afg3l2:Cndp2	A	GSM9574808	chr18	135	chr18	169	168.5139617919922	150.50704956054688	1.1196416532250297	observed
Agl:Brk1	A	GSM9574808	chr3	233	chr6	227	3.3212931156158447	2.624670624732971	1.265413299603544	observed
Ammecr1:Rab9	A	GSM9574808	chrX	283	chrX	330	60.92780303955078	54.820735931396484	1.11140067721449	observed
Ampd3:Hapln3	A	GSM9574808	chr7	220	chr7	157	100.03656768798828	79.90266799926758	1.251980317965168	observed
Ankrd33b:Chd4	A	GSM9574808	chr15	62	chr6	250	4.002196788787842	3.5895689725875854	1.1149519118733657	observed
Aoah:Sirt5	A	GSM9574808	chr13	42	chr13	87	274.1625671386719	65.90526962280273	4.159949101305454	observed
Aopep:Sdha	A	GSM9574808	chr13	126	chr13	148	168.18472290039062	120.11871337890625	1.4001542155206361	observed
Appbp2:Bcas3	A	GSM9574808	chr11	170	chr11	170				cis_below_500kb_bin_distance
Arhgap30:Csnk1g3	A	GSM9574808	chr1	342	chr18	108	5.6163740158081055	6.37355899810791	0.8811990314164211	observed
