peptide_id	parent_a_canonical	parent_b_out_of_frame	out_of_frame_minus_retained_donor
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	0.0	0.0	0.0
peptide_0113c383751f1a0ef3d6b27676d2e2141e091b8b60dc744ecdfddcbc258c577c	0.194393662400975	1.0	0.805606337599025
peptide_04e15dc3926c12278ffcff63cfbb0a6f232e69a5d16fa877239ea03bee778a02	0.0	0.0	0.0
peptide_0a3c36316543a47148471358f32a4ec64764c26acc5dd428c304719ee387455d	0.2107164358819987	1.0	0.7892835641180013
peptide_0c490e72ecae44550e53ca74fe76b911e1331a1d12589a18ae2832bd120927f3	1.0	1.0	0.0
peptide_1015ff2fa888cebfb365500cc0ab8e73fbbf1ac9a892fa1436d4660a59c814cd	0.8666666666666667	0.3333333333333333	-0.5333333333333334
peptide_101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	0.0597014925373134	0.0	-0.0597014925373134
peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	0.6385542168674698	0.6026785714285714	-0.03587564543889843
peptide_1a7b2bbbbf30fea698c57990414166e3db473b4ecba590ce3231a6f36c80546f	0.8492063492063492	0.3333333333333333	-0.5158730158730158
peptide_204ed537f56ceb775af18238d6211e9820a946ab60919dfc9088e0f6179859b9	0.1207048458149779	1.0	0.8792951541850221
peptide_279701eeae3508894ecda791240e0f757558d2bafab5b71e12e4d38b4e71b14b	0.1860465116279069	0.5441176470588235	0.3580711354309166
peptide_2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	0.0	0.0	0.0
peptide_3538354085b81ef36c100a2816d54993d184f50f51149beb3c72110afb62890b	0.5517241379310345	0.0	-0.5517241379310345
peptide_3868fed335582b3a056d423efc2dbae9dfa7c7350d3572a0f67798065f307d53	0.4659090909090909	0.0	-0.4659090909090909
peptide_39c80d227d1b6b4e946adce4be85cef588e0b03a059216ffe8e45cd70776a3f8	0.2093023255813953	0.9456521739130436	0.7363498483316483
peptide_44e77e98a7056e62ab58c0d6e9bfb595600a4e52033173803b36e6da613738d9	0.0	0.0	0.0
peptide_4d18fa70af645e46d15fe314ebcce1c4a4d97a8f5efb301e857bc9e15fa34010	0.0229885057471264	0.0	-0.0229885057471264
peptide_57d0d0dcf6e822977e6241e297a8c01a63b5946f671c050ffb0862f613df07b2	1.0	1.0	0.0
peptide_5999eb11d67df7e522c505afd90acafbdfe9801630ef60c14a9f5cd4b009d493	0.2144997004194128	1.0	0.7855002995805872
peptide_5a234919c79536d3b2fa40752c1be194a577052356662814783fd92907a22081	1.0	1.0	0.0
peptide_5ab5e29857f2cd5da92b5e094e07c40bb5bc57e5337cb74ff8eddf36df1360ea	0.4807692307692308	0.0625	-0.4182692307692308
peptide_5e0a55ceea7aa5596a1130b2f7a693b8a52acf6bf2ac12e69951ade5c9fb2d52	1.0	1.0	0.0
peptide_64acab400c65167ffaeee966c72b5756d55bfb825d8d85ba309ad0336fc74355	1.0	1.0	0.0
peptide_651cce5964555aebb8ec06a12446126fdc22fb3d9d460048b7381c5c5b59284b	0.0	0.1509433962264151	0.1509433962264151
peptide_6ae36d8a89ac3ac04b43b02983f3cb8994037ee6cadc0be1d50523eaca3430e4	0.0069930069930069	0.6323529411764706	0.6253599341834637
peptide_6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef	0.1764705882352941	0.1034482758620689	-0.0730223123732252
peptide_6fb675ee937bd6012483d68e055c6066fe96784a8fb6fbac7c2a40238065d2e1	0.0	0.8478260869565217	0.8478260869565217
peptide_74500f70e6a9f3f7e33db93e70c8610c8c7af7704f8522687bc26abc4cd3eb18	0.0	0.0	0.0
peptide_74f81c5b0dd4882852f7a96e994592fa15f7d1de20b877dd0717982b2ec560c7	0.4727272727272728	0.0	-0.4727272727272728
peptide_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	1.0	1.0	0.0
peptide_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	0.1808118081180811	1.0	0.8191881918819189
peptide_7bcda12bdf29e3d6d0ef460640d8a4e51aff91f6bdd3153d1c314603883f3620	0.3455149501661129	1.0	0.6544850498338871
peptide_899325e73395c7c25bfb100e110524886b8177bae90a0ab97604b66f4b77da1e	0.0	0.6026785714285714	0.6026785714285714
peptide_8f6c0816b17ee55076c61cdf4c826cc1643979392efca5fb4467a8a9f9ace991	0.194393662400975	1.0	0.805606337599025
peptide_953ba92bc1f4c477e39df8169492d7ef48e7bbc46569bb4073b795e64edbb4ee	0.1632653061224489	0.80078125	0.6375159438775511
peptide_9cdb44bee5cfb950ceb681f58e9b980aa86b1a24eba968a18e738743ad144b62	0.2333333333333333	0.0	-0.2333333333333333
peptide_9f2fe14fa088a9dd84d07165dad30bd8c00b45f2a19df50ed275a955ec4f7d82	1.0	1.0	0.0
peptide_a59d7915e3ec361c0f32f4047df2746ab1fe653e0c6afa2cce32d8136e25201b	0.7671957671957672	1.0	0.2328042328042328
peptide_a7c61936d86fa6f47cd92c1dd11e03d5a0ccb281c6f51a33ccc8ce02bbcec48a	0.5	0.0	-0.5
peptide_b0d22e27937167cce8168e89f2f47683b4ada96ad48b9ebb22e347b9e99abcb8	0.2713178294573643	1.0	0.7286821705426356
peptide_b38a46e68fa112ecb3d07b06ff9f3c00cfbcb19b8f9098cd396c99a0030c80ca	1.0	1.0	0.0
peptide_c9bd32c51697562e4682682f7973836127065d644b434e46336cf1b16be4ca7f	0.1	0.0	-0.1
peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	0.1665997591328783	0.0	-0.1665997591328783
peptide_cb3b877487db63c75d8a61ca9a8bf692284b3476f9b1f6a3c9c6e16a8da2fdb7	0.1917475728155339	1.0	0.8082524271844661
peptide_d856b7bb2fc8dfa370b5ecd0078cd483e64a89cde2fe7a9e77010c39f9e1f75b	0.115	0.0	-0.115
peptide_d863b4181c9445613da3877663fc081e228ed82f65667b4d3ed864a4251e3f95	0.0	0.0	0.0
peptide_dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9	0.2564102564102564	0.0	-0.2564102564102564
peptide_dbe63ac2fd19bcb0471334efc8f3f26068724f8a1fa27b6ec33cea8d1276d6e7	0.5192307692307693	1.0	0.4807692307692307
peptide_dcf65a11538f918eae65b31adc4bb6b591a7c882dd13c3d3721b01693cb43f84	1.0	1.0	0.0
peptide_e2e945499d969d3f3f5c7f6e58c493d60821e9a3917cc4a3b4c9157cc333163e	0.0	0.2916666666666667	0.2916666666666667
peptide_eaadb81f5c70805626da52cd61e57438d32bf21d9a2d8384477f99624294a992	0.8289473684210527	1.0	0.17105263157894735
peptide_eed915b6ca8b3996cd855855d0eb3687677480ad6600d6a859007123a2d56e75	0.1808118081180811	1.0	0.8191881918819189
peptide_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa	1.0	1.0	0.0
peptide_f0d37395734f61dc7792a5acf6ad495d9a1058302b01d4fa1338af9f49112dac	1.0	1.0	0.0
peptide_f24d6b7fa37dddf47c2a5a41244495275ae838ba9d20379f92b7e8df069983ac	0.1564625850340136	0.7769621682665161	0.6204995832325024
peptide_f3b157eea4a7b3afed59584e95a707bc05cb7cf6e128952858f1c030fdca8e9f	0.1617647058823529	0.0	-0.1617647058823529
peptide_fce534cced06c5860a0e4e21ac53ffa1a3c03bdd613724466f90f0578df30471	0.0066225165562913	0.2916666666666667	0.28504415011037537
peptide_fe9d713de22366a70052a1235a251c8f1999f247300bea4c5902067bfde22536	0.0	0.5	0.5
